ja,Unique_Entities
0,http://dbpedia.org/property/background
1,http://dbpedia.org/property/budget
2,http://dbpedia.org/property/producer
3,http://dbpedia.org/ontology/producer
4,http://dbpedia.org/property/executiveProducer
5,http://dbpedia.org/ontology/executiveProducer
6,http://dbpedia.org/property/title
7,http://dbpedia.org/property/name
8,http://dbpedia.org/ontology/birthPlace
9,http://dbpedia.org/ontology/birthDate
10,http://dbpedia.org/property/birthPlace
11,http://dbpedia.org/property/birthDate
12,http://dbpedia.org/property/genre
13,http://dbpedia.org/property/language
14,http://dbpedia.org/property/creator
15,http://dbpedia.org/property/producer
16,http://dbpedia.org/ontology/director
17,http://dbpedia.org/ontology/occupation
18,http://dbpedia.org/ontology/creator
19,http://dbpedia.org/property/arranger
20,http://dbpedia.org/property/caption
21,http://dbpedia.org/property/artist
22,http://dbpedia.org/property/narrator
23,http://dbpedia.org/ontology/starring
24,http://dbpedia.org/property/starring
25,http://dbpedia.org/property/gross
26,http://dbpedia.org/property/editing
27,http://dbpedia.org/property/filename
28,http://dbpedia.org/property/films
29,http://dbpedia.org/ontology/title
30,http://dbpedia.org/property/series
31,http://dbpedia.org/property/music
32,http://dbpedia.org/property/song
33,http://dbpedia.org/property/musicBy
34,http://dbpedia.org/property/lmusic
35,http://dbpedia.org/property/allMusic
36,http://dbpedia.org/property/language
37,http://dbpedia.org/property/type
38,http://dbpedia.org/property/headline
39,http://dbpedia.org/property/label
40,http://dbpedia.org/ontology/activeYearsStartYear
41,http://dbpedia.org/property/name
42,http://dbpedia.org/property/occupation
43,http://dbpedia.org/property/works
44,http://dbpedia.org/property/position
45,http://dbpedia.org/property/studio
46,http://dbpedia.org/property/location
47,http://dbpedia.org/ontology/location
48,http://dbpedia.org/property/company
49,http://dbpedia.org/property/length
50,http://dbpedia.org/ontology/licensee
51,http://dbpedia.org/property/licensee
52,http://dbpedia.org/property/licensedisbn
53,http://dbpedia.org/property/licensedreldate
