ja,Unique_Entities
0,http://dbpedia.org/property/artist
1,http://dbpedia.org/property/name
2,http://dbpedia.org/property/music
3,http://dbpedia.org/property/song
4,http://dbpedia.org/property/musicBy
5,http://dbpedia.org/property/lmusic
6,http://dbpedia.org/property/allMusic
7,http://dbpedia.org/property/caption
8,http://dbpedia.org/property/artist
9,http://dbpedia.org/property/narrator
10,http://dbpedia.org/ontology/starring
11,http://dbpedia.org/property/starring
12,http://dbpedia.org/property/director
13,http://dbpedia.org/property/language
14,http://dbpedia.org/property/genre
15,http://dbpedia.org/property/type
16,http://dbpedia.org/property/headline
17,http://dbpedia.org/property/label
18,http://dbpedia.org/ontology/activeYearsStartYear
19,http://dbpedia.org/ontology/occupation
20,http://dbpedia.org/property/works
21,http://dbpedia.org/property/position
22,http://dbpedia.org/property/occupation
23,http://dbpedia.org/property/album
24,http://dbpedia.org/property/studio
25,http://dbpedia.org/property/location
26,http://dbpedia.org/ontology/location
27,http://dbpedia.org/property/company
28,http://dbpedia.org/property/length
29,http://dbpedia.org/property/composer
30,http://dbpedia.org/ontology/composer
31,http://dbpedia.org/ontology/writer
32,http://dbpedia.org/property/writer
33,http://dbpedia.org/property/place
34,http://dbpedia.org/property/placeSemi
35,http://dbpedia.org/property/region
36,http://dbpedia.org/property/country
37,http://dbpedia.org/ontology/musicBy
38,http://dbpedia.org/ontology/award
39,http://dbpedia.org/property/award
40,http://dbpedia.org/property/awards
41,http://purl.org/dc/terms/subject
42,http://dbpedia.org/property/cover
43,http://dbpedia.org/ontology/recordLabel
44,http://dbpedia.org/property/labels
45,http://dbpedia.org/property/yearsactive
46,http://dbpedia.org/property/yearsActive
