ja,Unique_Entities
0,http://dbpedia.org/ontology/birthName
1,http://dbpedia.org/property/birthName
2,http://dbpedia.org/property/author
3,http://dbpedia.org/property/birthDate
4,http://dbpedia.org/property/caption
5,http://dbpedia.org/ontology/child
6,http://dbpedia.org/property/children
7,http://dbpedia.org/ontology/relative
8,http://dbpedia.org/property/relatives
9,http://dbpedia.org/ontology/spouse
10,http://dbpedia.org/property/name
11,http://dbpedia.org/property/nationality
12,http://dbpedia.org/property/influenced
13,http://dbpedia.org/property/influences
14,http://dbpedia.org/ontology/influenced
15,http://dbpedia.org/ontology/influences
16,http://dbpedia.org/property/sname
17,http://dbpedia.org/ontology/award
18,http://dbpedia.org/ontology/country
19,http://dbpedia.org/property/countryofbirth
20,http://dbpedia.org/property/country
21,http://dbpedia.org/property/countryRepresented
22,http://dbpedia.org/property/countryOfOrigin
23,http://dbpedia.org/property/deathPlace
24,http://dbpedia.org/property/image
25,http://dbpedia.org/ontology/occupation
26,http://dbpedia.org/property/occupation
27,http://dbpedia.org/property/occupations
28,http://dbpedia.org/property/careerPosition
29,http://dbpedia.org/property/career
30,http://dbpedia.org/property/creator
31,http://dbpedia.org/ontology/creator
32,http://dbpedia.org/property/composer
33,http://dbpedia.org/property/designer
34,http://dbpedia.org/property/salary
35,http://dbpedia.org/ontology/citizenship
36,http://dbpedia.org/ontology/nationality
37,http://dbpedia.org/property/residence
38,http://dbpedia.org/property/caption
39,http://dbpedia.org/property/finalteam
40,http://dbpedia.org/property/finalleague
41,http://dbpedia.org/property/teams
42,http://dbpedia.org/ontology/team
43,http://dbpedia.org/property/awards
44,http://dbpedia.org/property/knownFor
45,http://dbpedia.org/property/birthPlace
46,http://dbpedia.org/property/known
47,http://dbpedia.org/ontology/knownFor
48,http://dbpedia.org/property/knownAs
49,http://dbpedia.org/property/members
50,http://dbpedia.org/property/contributingMembers
51,http://dbpedia.org/property/connectedmembers
52,http://dbpedia.org/property/originalMembers
53,http://dbpedia.org/property/notableMembers
